Headline/ Title,Body Text,Start Date,End Date,Tag,Media,URL
New Orleans Downtown Development District,"Louisiana Legislature creates the Downtown Development District of New Orleans as the nation’s first assessment-based business improvement district (BID) to provide enhanced services in economic development, cleaning and safety.",1/10/1974,,Nonprofit,http://siliconbayounews.com/wp-content/uploads/2011/09/DDD-Logo.png,http://www.neworleansdowntown.com/
One Canal Place,"One Canal Place is a 32-story office complex located at the foot of Canal Street, in the heart of the Central Business & Maritime Districts. Completed in 1979, it is among New Orleans' leading Class A commercial office buildings, with more than 650,000 leasable square feet. With accommodations for single office users up to multi-floor tenants, the facility also offers ample covered parking, a prime location and a list of amenities that makes doing business here a pleasure.",6/1/1979,,"Company, Space",https://is0.4sqi.net/derived_pix/J2L3QWC1FGX1DKPKTWOYHOB4M0HN2P1DY2EZQ4ZO4ECWTFYW_300x300.jpg,http://onecanalplace.com/index.php
Cox Cable (Communications),"Cox Cable becomes New Orleans first, and only, cable company to file for a nonexclusive franchise.",5/28/1981,,Milestone,,http://www.nolacitycouncil.com/docs/resources/Cox_response.pdf
New Orleans Personal Computer Club,A Club composed of individual personal computer users who help each other learn more about their personal computers and their wide variety of applications.,6/3/1981,,Group,,www.nopc.org
Louisiana Tech Council,"The Louisiana Technology Council is the premier advocate for the advancement of both existing and emerging technologies across all industry sectors in the state of Louisiana.  The LTC provides value and support to its stakeholders by serving as the primary resource for the strategic direction of the state's technology agenda, including industry-university interactions, workforce development, educational programs, networking connections and the global promotion of Louisiana's rich technological environment.",6/16/1982,,Group,http://www.ltc-la.org/graphics/header.jpg,http://www.ltc-la.org/
iSeatz,"Kenneth Purcell starts up iSeatz, a global provider of customized online travel and entertainment solutions.
  They help build your solution so you can focus on your core business.",1/1/1999,,Company,http://photos2.meetupstatic.com/photos/sponsor/8/e/a/0/iab120x90_516512.jpeg,http://iseatz.com/
NOLUG (Linux User Group),New Orleans Area Linux Group,1/1/1999,,Group,,http://www.nolug.org/
National Center for Advanced Manufacturing (NCAM),"NCAM was created when a partnership was formed between NASA, the State of Louisiana, and The University of New Orleans (UNO). The purpose of the partnership was to:
              Address NASA's needs in research and technology development
Build the technology base for manufacturing next generation launch vehicle systems.",3/9/1999,,,,http://www.ncamlp.org/index.htm
TurboSquid,"Turbo Squid is the largest library of 3D products for sale in the world and a clearinghouse for digital artists to make money selling their content. Matt Wisdom, Chief Executive Officer and Co-Founder.",4/1/2000,,Company,http://assets3.content.mixamo.com/turbosquid_logo.png,http://www.turbosquid.com/
UNO Research & Technology Park,"The UNO Research and Technology Park provides the opportunity for commercial and governmental enterprises to avail themselves of the resources of a major research university, its faculty and students in a technologically advanced and scenic setting. With world-class departments of naval architecture and marine engineering, business administration, communications disciplines, high performance computing, biotechnology, advanced materials and manufacturing, environmental and energy research, UNO offers a wide range of opportunities for academic and scientific collaboration.",3/1/2001,,"Company, Space",http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/FEMA_-_37156_-_University_of_New_Orleans_Research_Park.jpg/800px-FEMA_-_37156_-_University_of_New_Orleans_Research_Park.jpg,http://rtp.uno.edu/facilities.htm
"Greater New Orleans, Inc.","A regional economic development alliance that serves the 10-parish region of Southeast Louisiana. Under the leadership of President and CEO Michael Hecht, GNO, Inc. pursues a two-pronged strategy of business development and product development.",8/1/2004,,"Nonprofit, Economic Development",https://sphotos-a.xx.fbcdn.net/hphotos-ash3/554797_375499662480475_1258046639_n.jpg,http://gnoinc.org/
Flat Stack,"Chris Schultz kicks off Flat Stack, a global software development company with offices in New Orleans, Louisiana and Kazan, Russia. ",1/1/2005,,Company,http://a0.twimg.com/profile_images/1583001668/fslogo_twit.gif,http://www.flatstack.com/
